x	y	z	peak
6	22	35	3.2741221482611196
6	41	30	3.7043771319540841
7	17	32	3.6509808406254409
8	15	31	3.2264235872940934
13	46	27	3.284844371132392
14	32	30	4.2851732052877161
16	21	28	4.8593763966763506
16	41	28	5.0503623259629578
17	25	29	3.9439316024285422
17	25	36	3.9302203379964507
17	46	29	3.410369096783767
17	46	31	3.2979509763146662
18	31	38	3.4507214753885846
19	22	37	3.3819639173467979
20	22	48	3.3997477483458285
21	24	30	3.4598958204566324
21	41	33	3.68883357002932
23	38	34	3.3080971715558949
29	37	45	3.6264767549717667
30	32	47	3.4864928154938504
30	34	43	4.1070524303797296
30	35	35	4.0317435926158796
30	40	37	4.5252707124713947
31	42	34	4.7122768292859698
32	23	32	3.2976374129779917
33	32	34	3.258417154654679
34	24	40	3.8633889006126831
34	29	46	3.7254145505719527
34	31	46	3.5971877058920771
34	45	28	3.6730479887790146
36	24	46	3.1154958268594588
36	28	48	3.7763845335230757
36	31	38	3.6158615907877638
39	28	45	3.8585065111370787
39	37	29	3.1674287088742998
40	34	39	3.462019555887391
41	34	42	3.6767889663625501
