x	y	z	peak
15	61	58	2.1966738700866699
18	73	50	4.2189130783081055
19	46	62	2.9842190742492676
19	67	55	6.8957424163818359
19	86	37	2.0264506340026855
20	32	31	9.0950641632080078
20	65	52	7.2290124893188477
20	80	46	5.1735243797302246
21	72	33	4.7198371887207031
22	27	29	8.3051300048828125
22	36	31	8.6129941940307617
22	67	50	7.706146240234375
24	36	25	5.7918839454650879
25	44	56	5.5958390235900879
25	86	53	2.9029035568237305
25	89	49	2.7919259071350098
26	20	34	8.9317083358764648
26	44	18	3.3284268379211426
26	46	23	2.9722003936767578
26	62	67	7.9634137153625488
27	23	46	5.3779001235961914
27	28	26	7.071596622467041
27	39	19	3.9489598274230957
27	39	59	7.2472786903381348
27	87	43	2.5692658424377441
28	19	48	5.2909297943115234
28	20	39	9.0222797393798828
28	23	55	4.5589752197265625
28	35	65	6.7389469146728516
28	41	25	6.3512773513793945
28	63	20	2.0318078994750977
28	76	36	9.6886301040649414
29	31	58	6.5816311836242676
29	60	17	2.0878071784973145
29	60	61	5.8563308715820312
29	93	48	2.3066298961639404
30	19	32	7.8199892044067383
30	48	19	2.8548157215118408
30	71	22	2.2373056411743164
30	85	54	2.9864306449890137
31	32	21	4.233604907989502
31	68	68	2.20841383934021
31	83	26	3.7699217796325684
32	44	45	3.1806955337524414
32	59	39	2.1992092132568359
32	69	26	2.293926477432251
32	78	28	2.3428301811218262
32	81	25	4.7439103126525879
33	47	16	3.5211617946624756
33	47	42	2.5703263282775879
33	57	36	2.1141350269317627
33	64	39	2.386075496673584
34	29	63	8.9750537872314453
34	50	22	3.3527092933654785
34	50	34	3.7187137603759766
34	68	35	3.7859127521514893
35	34	38	3.0716736316680908
35	48	48	2.3015553951263428
35	52	18	6.2459349632263184
35	64	46	2.0783607959747314
36	64	23	3.3574557304382324
36	75	36	2.8795630931854248
37	33	26	2.4337158203125
37	57	19	2.8056771755218506
38	30	41	3.4932718276977539
38	67	71	2.6743943691253662
39	49	29	4.4659829139709473
40	33	27	2.4785358905792236
40	54	30	2.8798286914825439
40	55	41	4.0926899909973145
40	57	33	2.5326933860778809
40	63	44	5.1402292251586914
40	68	72	2.7494621276855469
40	72	55	4.4715814590454102
40	74	52	4.0792832374572754
41	65	38	4.7331795692443848
41	70	41	3.3623754978179932
42	27	24	5.2944645881652832
42	38	29	2.1299169063568115
42	47	35	6.6497416496276855
43	25	17	5.6273484230041504
43	32	69	2.3139462471008301
43	64	51	3.2378950119018555
44	43	20	5.8674530982971191
44	48	49	3.797774076461792
44	55	27	2.7759201526641846
44	56	29	3.122732400894165
44	62	30	3.4700558185577393
44	69	28	2.4349129199981689
45	33	32	2.0584361553192139
45	36	30	2.27048659324646
45	38	17	8.773345947265625
45	44	16	5.8945245742797852
45	53	42	4.2578215599060059
45	57	25	4.8350276947021484
45	66	52	3.4983282089233398
45	70	59	8.6118669509887695
45	76	55	5.7984180450439453
46	42	31	3.3119022846221924
46	49	36	7.1761107444763184
46	60	18	2.4600493907928467
46	63	66	9.4288520812988281
47	25	17	6.3060817718505859
47	42	22	3.1635293960571289
48	32	70	3.4705781936645508
48	50	50	2.9766807556152344
48	54	17	2.2223634719848633
48	64	38	8.3816242218017578
49	27	23	4.4911842346191406
49	62	43	6.2016935348510742
50	29	66	5.1083865165710449
50	53	31	2.7736015319824219
50	55	41	5.6995882987976074
50	58	25	3.7969765663146973
51	17	33	4.0560727119445801
51	24	40	2.5705714225769043
51	48	28	4.1873922348022461
51	66	28	2.517242431640625
52	40	17	3.2627849578857422
52	42	15	3.0682315826416016
52	58	46	4.9705667495727539
52	59	31	2.3335740566253662
52	63	24	2.2240350246429443
54	64	31	3.1169469356536865
55	29	39	3.1079962253570557
55	45	15	3.3785357475280762
55	46	48	2.9686698913574219
55	52	19	4.0943593978881836
56	27	62	7.3456029891967773
56	43	21	2.1036710739135742
56	48	41	2.7797281742095947
56	50	34	4.2829723358154297
56	64	40	5.2776670455932617
57	47	15	4.0444560050964355
57	64	31	3.0345163345336914
57	80	25	2.5125646591186523
58	17	33	8.1759271621704102
58	24	31	2.9073598384857178
58	26	50	5.9187383651733398
58	30	60	7.064661979675293
58	61	62	5.2877750396728516
58	69	22	2.5562758445739746
58	77	28	2.3813939094543457
59	19	27	5.1428737640380859
59	19	42	7.0435528755187988
59	33	29	2.7485578060150146
59	59	70	8.097
