x	y	z	peak
18	73	50	4.2189130783081055
19	67	55	6.8957424163818359
20	32	31	9.0950641632080078
20	65	52	7.2290124893188477
20	80	46	5.1735243797302246
21	72	33	4.7198371887207031
22	27	29	8.3051300048828125
22	36	31	8.6129941940307617
22	67	50	7.706146240234375
24	36	25	5.7918839454650879
25	44	56	5.5958390235900879
26	20	34	8.9317083358764648
26	44	18	3.3284268379211426
26	62	67	7.9634137153625488
27	23	46	5.3779001235961914
27	28	26	7.071596622467041
27	39	19	3.9489598274230957
27	39	59	7.2472786903381348
28	19	48	5.2909297943115234
28	20	39	9.0222797393798828
28	23	55	4.5589752197265625
28	35	65	6.7389469146728516
28	41	25	6.3512773513793945
28	76	36	9.6886301040649414
29	31	58	6.5816311836242676
29	60	61	5.8563308715820312
30	19	32	7.8199892044067383
31	32	21	4.233604907989502
31	83	26	3.7699217796325684
32	44	45	3.1806955337524414
32	81	25	4.7439103126525879
33	47	16	3.5211617946624756
34	29	63	8.9750537872314453
34	50	22	3.3527092933654785
34	50	34	3.7187137603759766
34	68	35	3.7859127521514893
35	34	38	3.0716736316680908
35	52	18	6.2459349632263184
36	64	23	3.3574557304382324
38	30	41	3.4932718276977539
39	49	29	4.4659829139709473
40	55	41	4.0926899909973145
40	63	44	5.1402292251586914
40	72	55	4.4715814590454102
40	74	52	4.0792832374572754
41	65	38	4.7331795692443848
41	70	41	3.3623754978179932
42	27	24	5.2944645881652832
42	47	35	6.6497416496276855
43	25	17	5.6273484230041504
43	64	51	3.2378950119018555
44	43	20	5.8674530982971191
44	48	49	3.797774076461792
44	56	29	3.122732400894165
44	62	30	3.4700558185577393
45	38	17	8.773345947265625
45	44	16	5.8945245742797852
45	53	42	4.2578215599060059
45	57	25	4.8350276947021484
45	66	52	3.4983282089233398
45	70	59	8.6118669509887695
45	76	55	5.7984180450439453
46	42	31	3.3119022846221924
46	49	36	7.1761107444763184
46	63	66	9.4288520812988281
47	25	17	6.3060817718505859
47	42	22	3.1635293960571289
48	32	70	3.4705781936645508
48	64	38	8.3816242218017578
49	27	23	4.4911842346191406
49	62	43	6.2016935348510742
50	29	66	5.1083865165710449
50	55	41	5.6995882987976074
50	58	25	3.7969765663146973
51	17	33	4.0560727119445801
51	48	28	4.1873922348022461
52	40	17	3.2627849578857422
52	42	15	3.0682315826416016
52	58	46	4.9705667495727539
54	64	31	3.1169469356536865
55	29	39	3.1079962253570557
55	45	15	3.3785357475280762
55	52	19	4.0943593978881836
56	27	62	7.3456029891967773
56	50	34	4.2829723358154297
56	64	40	5.2776670455932617
57	47	15	4.0444560050964355
57	64	31	3.0345163345336914
58	17	33	8.1759271621704102
58	26	50	5.9187383651733398
58	30	60	7.064661979675293
58	61	62	5.2877750396728516
59	19	27	5.1428737640380859
59	19	42	7.0435528755187988
59	59	70	8.0977792739868164
60	32	21	3.00282883644104
60	38	58	6.2202835083007812
61	74	36	6.6704568862915039
63	26	26	5.5424637794494629
63	36	26	5.4461865425109863
64	21	43	3.6082854270935059
64	36	66	4.5970058441162109
65	68	49	6.4323825836181641
66	41	22	5.8799643516540527
66	43	57	7.771878719329834
66	66	37	3.0170977115631104
67	25	31	7.9125661849975586
67	61	66	6.7292232513427734
67	67	28	3.0625767707824707
68	29	30	8.846013069152832
68	34	32	8.3228435516357422
68	41	29	4.4395198822021484
69	75	48	5.2144021987915039
69	79	41	5.1333951950073242
70	65	51	9.7095975875854492
71	63	56	7.8286638259887695
71	69	35	4.6770420074462891
72	63	59	8.0052490234375
72	67	43	4.8996491432189941
73	33	29	6.8221406936645508
