x	y	z	peak
10	65	51	4.7781027651648449
11	50	60	5.0110257569171308
11	61	56	5.0067716565177847
13	74	46	4.3166537582372548
15	46	65	4.5900497008839718
15	59	51	5.8956443497635105
18	45	39	3.4842255481190896
19	17	30	5.9763407659069498
19	41	57	5.7805243389199266
20	24	29	6.9493907453807067
20	36	60	5.3443127268958097
21	31	27	6.1823459724685383
21	43	45	3.5909941095059201
21	45	66	4.6341201988461869
22	48	21	3.0919325836551921
23	32	58	5.753288106808176
23	66	37	6.6966037723080927
23	77	50	5.4808451858190095
24	11	32	6.8310179016159127
24	22	52	6.3910304672507019
25	27	23	4.7216915151806829
25	55	62	7.0290666857890232
26	25	59	6.1337988381575768
26	48	66	5.005485078409345
27	23	55	6.3011003038635183
27	26	38	4.2036577693644928
27	38	45	4.5633686086618273
27	61	70	4.2308102289793741
28	24	60	6.1536608355095215
30	22	40	4.5813329614038611
30	55	67	5.5693568542160046
32	22	24	3.4992543302887094
32	62	35	5.1934975443801203
33	47	59	3.5450019011800045
34	41	48	4.3556041301390778
35	19	25	4.0924542118851885
35	58	64	6.5395520377084875
36	43	34	6.6477441430885031
36	47	34	6.5168189976051059
36	62	58	6.7545781617563323
37	45	35	6.6381409776015099
37	61	51	5.0930380760783178
38	35	26	5.1013066497575243
41	44	34	6.5994302392433291
41	55	64	6.923411538041762
41	59	37	4.3120927323882041
41	61	60	6.9140358609049359
42	20	24	4.2750638401454779
42	49	32	6.4311876365979472
42	64	55	6.1188531189108106
44	67	50	5.3013269774840985
45	42	49	5.2783200096266487
45	45	58	3.1318348939476874
46	40	48	5.328427715413838
47	61	71	3.8936138370545699
47	63	36	4.9790697743838157
48	20	63	6.1052258801737693
48	58	35	4.8594509814239819
49	22	39	4.1099946249701391
49	55	67	6.8443847705055729
50	61	70	4.188980150926862
51	21	53	6.8572188953354098
51	23	59	7.1462801629941621
51	54	63	6.8731869237656253
52	9	31	6.6101730060436195
53	32	42	4.4326899540308293
53	77	43	3.8779071953641098
54	14	42	4.8036730443612576
54	29	22	4.5946517363186077
54	32	58	6.0264102640209298
54	75	48	4.1790314778833615
55	67	37	6.8531283677004495
55	78	52	4.1906270554845397
56	41	44	3.6581215262569322
56	42	41	3.5471698156493896
57	11	46	4.3407114918820975
57	31	26	6.0193677483022761
57	43	39	3.6110519967037775
57	53	61	6.4238220071316654
57	56	37	3.2543169107256875
57	84	45	3.6751703968230802
58	48	63	5.7738021197483471
58	55	40	3.4420889973193423
59	37	56	6.6423017648270521
59	72	47	5.1690331549528015
59	73	40	4.575603391480354
59	78	35	3.3109096182090845
61	79	44	3.7369719654447064
62	25	32	6.5743757837541228
63	54	59	6.2698090260899182
63	60	49	6.740635332736324
65	59	40	5.3256479289532974
68	47	48	4.676189022838912
