x	y	z	peak
18	73	50	3.2895218012859417
19	46	62	2.5571177873550566
19	67	55	4.3980611574794475
20	32	31	5.0134822611315304
20	65	52	4.5043162584761154
20	80	46	3.7467160657108827
21	72	33	3.5396765580366187
22	27	29	4.8138080724764301
22	36	31	4.8941119872550933
22	67	50	4.6474652836014618
24	36	25	4.0028325845991688
25	44	56	3.9246450931900601
25	86	53	2.5022993683735546
25	89	49	2.4260593591674171
26	20	34	4.9738636247356247
26	44	18	2.7796438560843075
26	46	23	2.5490706089723494
26	62	67	4.7206288298519672
27	23	46	3.8345031450780853
27	28	26	4.4548042766281064
27	39	19	3.1443072445775249
27	39	59	4.5099853772933836
28	19	48	3.7975415693869969
28	20	39	4.9959320423076026
28	23	55	3.461941882433778
28	35	65	4.3461405607242192
28	41	25	4.2120613231797845
28	76	36	5.1507979547845002
29	31	58	4.2927375861970862
29	60	61	4.0279606749690702
30	19	32	4.6801721106216272
30	48	19	2.4694668588962396
30	85	54	2.5585964820913913
31	32	21	3.2972073891275726
31	83	26	3.043659007860497
32	44	45	2.6859953070035418
32	81	25	3.5511075311050129
33	47	16	2.8977553142079078
34	29	63	4.9844570782732172
34	50	22	2.7947752135271742
34	50	34	3.0142102777686803
34	68	35	3.0527940614462192
35	34	38	2.6151022663667938
35	52	18	4.1741434856571349
36	64	23	2.797724373032358
36	75	36	2.48640205236096
37	57	19	2.4355962657441377
38	30	41	2.8809429200429526
38	67	71	2.343499694077992
39	49	29	3.4159069933653039
40	54	30	2.486583362398989
40	55	41	3.2225776719985197
40	63	44	3.7321039718149311
40	68	72	2.3964478002484579
40	72	55	3.4187017269699362
40	74	52	3.2153697717263241
41	65	38	3.5460185061437519
41	70	41	2.8007782911893968
42	27	24	3.799055124717504
42	47	35	4.3160230620460149
43	25	17	3.9373929434499839
43	64	51	2.7225812859296501
44	43	20	4.0322691667950226
44	48	49	3.0595513437291082
44	55	27	2.4149266739749109
44	56	29	2.6484947082191477
44	62	30	2.8668767057656885
45	38	17	4.934651937932002
45	44	16	4.0427217617214186
45	53	42	3.3098278179475469
45	57	25	3.5939088581798595
45	66	52	2.8839978932318604
45	70	59	4.8938239513006758
45	76	55	4.0053929835807436
46	42	31	2.7693048718011664
46	49	36	4.4878090451354797
46	63	66	5.0919377455190213
47	25	17	4.1958738290527355
47	42	22	2.6749341792975256
48	32	70	2.8671939198301262
48	50	50	2.5520726901570971
48	64	38	4.8340732797023351
49	27	23	3.4284636308939409
49	62	43	4.1580208837780033
50	29	66	3.7180459601480851
50	53	31	2.4133110958810509
50	55	41	3.9663552712983208
50	58	25	3.0590975071128605
51	17	33	3.2028462222772847
51	48	28	3.2729583222224932
52	40	17	2.7383720424295128
52	42	15	2.6128389991181229
52	58	46	3.6562443922128356
54	64	31	2.644727955558849
55	29	39	2.6388918868376852
55	45	15	2.8107886600691101
55	46	48	2.5467031168102618
55	52	19	3.2234738752495047
56	27	62	4.5402354516331647
56	48	41	2.4175784615798692
56	50	34	3.3228724288220652
56	64	40	3.7918540112437085
57	47	15	3.1965568510201434
57	64	31	2.590588410277177
58	17	33	4.779094272943432
58	24	31	2.5053262975424322
58	26	50	4.0520300434283945
58	30	60	4.4525956715582344
58	61	62	3.7961899271034021
59	19	27	3.7332678158802519
59	19	42	4.4458581823933851
59	33	29	2.3958145210555317
59	59	70	4.7577956747620114
60	32	21	2.5695405041858592
60	38	58	4.1648099272763881
61	74	36	4.3230550566653756
63	26	26	3.9028891249169417
63	36	26	3.8631233625712587
64	21	43	2.9496777160849237
64	36	66	3.4805344736485768
65	68	49	4.2408115556208239
66	41	22	4.0371059239282747
66	43	57	4.6664152288078755
66	66	37	2.5790346715257626
66	84	39	2.4869693878745456
67	25	31	4.7063799088986382
67	61	66	4.3428783137940297
67	67	28	2.6091174159689881
68	29	30	4.9527449322190806
68	34	32	4.8185196081672199
68	41	29	3.402656237607717
69	75	48	3.7645352213294117
69	79	41	3.729093756157225
70	65	51	5.1554683402723187
71	63	56	4.6826425122172886
71	69	35	3.519226956870229
72	63	59	4.7322759718546381
72	67	43	3.6238248689713726
73	33	29	4.3738480685530723
73	46	54	2.3177371498312631
74	73	43	2.4211731311278979
